Id,Field_0,Field_1,Field_2,Field_3,Field_4,Field_5,Field_6,Field_7
int,Array<string>,float,int,float,Dict<string,int>,float,int64,int
1000,Anne|Tonya|Edward,4477.4,29874,4739.58,reveal:13,1360.67,3866465642,12443
1001,Lauren|Richard,407.92,62309,1908.16,party:41|cover:16|moment:5,4262.11,3850190741,6386
1002,William|Corey|Seth|Jennifer|Emily,1290.61,53209,2255.65,write:22|off:19|century:50,1886.84,3518926344,84606
1003,Alexandria|Cassandra|Barry|David,4433.06,25240,1313.53,manage:21,3697.57,3601648608,1434
1004,Jennifer|Amy|James|John|Sarah,4935.75,72136,4680.78,boy:35|wish:44|nation:47,409.02,1111270855,60252
1005,Brian|Meredith|Joyce,2164.28,50532,3800.4,blue:23,3900.78,4945616944,98401
1006,David|Ronald,4632.53,3834,1253.43,father:37|experience:19,204.56,8962732448,52538
1007,Dustin|Joseph|Martha|Lance|Christina,848.77,7385,3826.92,language:28,4656.65,7818413731,2116
1008,Kayla|Joseph,4719.19,53442,3349.9,fish:15,3500.78,3098812453,24557
1009,Jose|Laura|Nicole,1754.12,9532,4167.66,admit:17,4471.4,5041378114,36828
1010,Cameron|Marilyn|Scott,4192.72,83157,2692.01,debate:48|natural:35|run:45,4229.1,1207788453,56474
1011,Brian|Taylor|Pamela,3372.15,77502,658.87,reflect:17,4916.31,8172189100,55985
1012,Paula|David|Alicia|Elizabeth,2842.4,92222,4310.33,local:46|without:25,3863.79,4584222993,46237
1013,Michael|Sean,3855.21,16276,2313.71,for:33,3875.36,8138721240,84011
1014,Elizabeth|William,1956.92,46538,3912.68,stop:40|with:12,1146.78,6340165844,19665
1015,Amy|Jeanette,910.87,50517,882.2,main:23|modern:32,3158.98,1076579015,14073
1016,Brandi|Chad|Deborah|Bailey|Katherine,1058.58,67736,1687.77,able:18,2756.51,7339630584,18099
1017,Tracy|Brian|David|Virginia|Cathy,881.58,28998,2781.47,final:11|Democrat:18,3197.19,8788631497,82373
1018,Valerie|Patricia|Kevin|Joseph|Kimberly,4723.55,26307,1092.48,arm:41,3960.76,2775616244,15515
1019,Ashley|David,2926.2,11486,2320.03,idea:3|why:1,1369.24,2300843710,60983
1020,Mark|Stephanie|Tamara,3916.14,90427,2916.72,class:24|ahead:20,4395.66,1986882504,62671
1021,Bradley|Scott|Holly|Timothy,905.69,47070,3025.76,expert:20|letter:17,3595.2,2992752565,13596
1022,Chelsea|David|Anthony|Adam|Kevin,4008.51,47640,2145.25,language:32|fish:5|measure:35,4991.0,1966629380,61265
1023,Robert|Cassandra|Amy|Jennifer,594.3,95661,1151.49,sing:9|late:16,3139.56,8946034394,39035
1024,Nicholas|Kathy|Brandon|Stephen|Darryl,4525.77,92213,2447.29,case:26|region:50,2635.08,5987584130,33702
1025,Gina|Mike|George|William,1961.48,75227,777.64,drive:14|claim:31,2981.07,8071656673,20746
1026,Austin|Scott|Michael|Roy,1956.33,91033,619.52,summer:23|treatment:20,1434.99,8919324226,52322
1027,Andrew|Charles|Samuel|Sean|Dustin,4605.42,80642,3028.67,think:3,301.27,7889539955,3512
1028,Alyssa|Kelly|Katherine,2994.94,20693,3887.43,door:39|character:46,3363.13,3445979737,67619
1029,Richard|Matthew|Heather,4788.85,6851,1787.55,worker:29,597.17,4091239292,64691
1030,Alicia|Sabrina|Laura,4627.19,49861,3640.37,rather:18|try:26|easy:25,3365.01,4596023420,1760
1031,Steven|Donna|Amy,4964.57,32172,4117.3,natural:7|probably:45|into:4,2861.76,3030165592,52976
1032,Courtney|Robert|Tammy,2892.69,7299,4162.05,already:23|born:42,3099.81,5251408664,61059
